Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
371;2015;88;Spotlight;True;Josh Singer & Tom McCarthy‡;;;;
184;1977;50;Star Wars;False;George Lucas;;;;
375;2015;88;Straight Outta Compton;False;Screenplay: Andrea Berloff & Jonathan Herman;;;;
154;1971;44;Summer of '42;False;Herman Raucher;;;;
155;1971;44;Sunday Bloody Sunday;False;Penelope Gilliatt;;;;
46;1950;23;Sunset Boulevard;True;Charles Brackett, D. M. Marshman Jr. & Billy Wilder‡;;;;
325;2005;78;Syriana;False;Stephen Gaghan;;;;
410;2022;95;Tár;False;Todd Field;;;;
65;1953;26;Take the High Ground!;False;Millard Kaufman;;;;
306;2002;75;Talk to Her;True;Pedro Almodóvar‡;;;;
8;1941;14;Tall, Dark and Handsome;False;;;;;
90;1958;31;Teacher's Pet;False;Fay Kanin & Michael Kanin;;;;
211;1983;56;Tender Mercies;True;Horton Foote‡;;;;
120;1964;37;That Man from Rio;False;Daniel Boulanger, Philippe de Broca, Ariane Mnouchkine & Jean-Paul Rappeneau;;;;
109;1962;35;That Touch of Mink;False;Nate Monaster & Stanley Shapiro;;;;
92;1959;32;The 400 Blows;False;Marcel Moussy & François Truffaut;;;;
97;1960;33;The Angry Silence;False;Screenplay: Bryan Forbes;;;;
96;1960;33;The Apartment;True;I. A. L. Diamond & Billy Wilder‡;;;;
352;2011;84;The Artist;False;Michel Hazanavicius;;;;
57;1952;25;The Atomic City;False;Sydney Boehm;;;;
317;2004;77;The Aviator;False;John Logan;;;;
35;1947;20;The Bachelor and the Bobby-Soxer;True;;;;;
62;1953;26;The Band Wagon;False;Betty Comden & Adolph Green;;;;
408;2022;95;The Banshees of Inisherin;False;Martin McDonagh;;;;
312;2003;76;The Barbarian Invasions;False;Denys Arcand;;;;
67;1954;27;The Barefoot Contessa;False;Joseph L. Mankiewicz;;;;
137;1968;41;The Battle of Algiers;False;Gillo Pontecorvo & Franco Solinas;;;;
212;1983;56;The Big Chill;False;Barbara Benedek & Lawrence Kasdan;;;;
382;2017;90;The Big Sick;False;Emily V. Gordon & Kumail Nanjiani;;;;
31;1946;19;The Blue Dahlia;False;;;;;
77;1956;29;The Bold and the Brave;False;Robert Lewin;;;;
156;1972;45;The Candidate;True;Jeremy Larner‡;;;;
194;1979;52;The China Syndrome;False;James Bridges, T. S. Cook & Mike Gray;;;;
168;1974;47;The Conversation;False;Francis Ford Coppola;;;;
72;1955;28;The Court-Martial of Billy Mitchell;False;Emmet Lavery & Milton Sperling;;;;
256;1992;65;The Crying Game;True;Neil Jordan‡;;;;
143;1969;42;The Damned;False;Screenplay: Nicola Badalucco, Enrico Medioli & Luchino Visconti;;;;
188;1978;51;The Deer Hunter;False;Screenplay: Deric Washburn;;;;
86;1958;31;The Defiant Ones;True;Nedrick Young & Harold Jacob Smith‡ [note 2];;;;
63;1953;26;The Desert Rats;False;Richard Murphy;;;;
6;1941;14;The Devil and Miss Jones;False;;;;;
157;1972;45;The Discreet Charm of the Bourgeoisie;False;Screenplay & Story: Luis Buñuel;;;;
409;2022;95;The Fabelmans;False;Tony Kushner & Steven Spielberg;;;;
98;1960;33;The Facts of Life;False;Melvin Frank & Norman Panama;;;;
387;2018;91;The Favourite;False;Deborah Davis & Tony McNamara;;;;
348;2010;83;The Fighter;False;Screenplay: Eric Johnson, Scott Silver & Paul Tamasy;;;;
254;1991;64;The Fisher King;False;Richard LaGravenese;;;;
128;1966;39;The Fortune Cookie;False;I. A. L. Diamond & Billy Wilder;;;;
114;1963;36;The Four Days of Naples;False;Screenplay: Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa & Nanni Loy;;;;
178;1976;49;The Front;False;Walter Bernstein;;;;
285;1997;70;The Full Monty;False;Simon Beaufoy;;;;
69;1954;27;The Glenn Miller Story;False;Oscar Brodney & Valentine Davies;;;;
87;1958;31;The Goddess;False;Paddy Chayefsky;;;;
182;1977;50;The Goodbye Girl;False;Neil Simon;;;;
